species;order;family;temperature;int_rate;int_rate_se;sample_size;reference;doi;observations_i;observations_ii;feed_guild;source_dataset;lat;lon;body_length_mm;type_length;source_length
Sitophilus oryzae;Coleoptera;Curculionidae;25.5;0.086428571;;;birch1953;10.2307/1931336;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;29.1;0.110285714;;;birch1953;10.2307/1931337;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;32.3;0.071571429;;;birch1953;10.2307/1931338;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;33.5;0.017142857;;;birch1953;10.2307/1931339;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;34;0;;;birch1953;10.2307/1931340;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;35;0;;;birch1953;10.2307/1931341;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;15.2;0;;;birch1953;10.2307/1931342;12%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;23;0.043285714;;;birch1953;10.2307/1931343;12%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;29.1;0.058;;;birch1953;10.2307/1931344;12%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;33.5;0.000142857;;;birch1953;10.2307/1931345;12%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;35;0;;;birch1953;10.2307/1931346;12%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;15.2;0;;;birch1953;10.2307/1931347;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;18.2;0.001857143;;;birch1953;10.2307/1931348;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;25.5;0.044285714;;;birch1953;10.2307/1931349;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;29.1;0.05;;;birch1953;10.2307/1931350;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;33.5;0;;;birch1953;10.2307/1931351;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;18.2;0;;;birch1953;10.2307/1931352;10.5%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;25.5;0.009571429;;;birch1953;10.2307/1931353;10.5%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;29.1;-0.005857143;;;birch1953;10.2307/1931354;10.5%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Sitophilus oryzae;Coleoptera;Curculionidae;32.3;0;;;birch1953;10.2307/1931355;10.5%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.5;;University of Nebraska-Lincoln
Rhizopertha dominica;Coleoptera;Bostrichidae;18.3;0;;;birch1953;10.2307/1931356;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;29;0.082571429;;;birch1953;10.2307/1931357;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;32;0.098;;;birch1953;10.2307/1931358;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;3;0.108857143;;;birch1953;10.2307/1931359;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
