reference;species;model_name;model_AIC;criterion;observations;decision;;;;;;;;;;;;;;;;;;;
geng3017;Phyllonorycter ringoniella;deutsch_2008;-39.97;all;;pass;;;;;;;;;;;;;;;;;;;
golizadeh2012;Phthorimaea operculella;pawar_2018;-32.79;ecological;;pass;;;;;;;;;;;;;;;;;;;
gotoh2004;Tetranychus pueraricola;gaussian_1987;-15.21;single converged;quite high uncertainty;pass;;;;;;;;;;;;;;;;;;;
gotoh2010;Tetranychus evansi;deutsch_2008;-178.16;ecological;;choose;;;;;;;;;;;;;;;;;;;
gotoh2010;Tetranychus evansi;gaussian_1987;-179.8;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus ludeni;pawar_2018;-32.35;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus ludeni;rezende_2019;-36.32;best fit;;choose;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus piercei;rezende_2019;-29.42;best fit;;choose;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus truncatus;gaussian_1987;-19.91;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus urticae;deutsch_2008;-24.58;ecological;;choose;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus urticae;gaussian_1987;-26.12;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
gotoh2014;Tetranychus urticae;weibull_1995;-29.44;best fit;;discard;;;;;;;;;;;;;;;;;;;
govindan2020;Halyomorpha halys;deutsch_2008;-45.97;all;;pass;;;;;;;;;;;;;;;;;;;
gulzar2012;Heliothis virescens;gaussian_1987;-24.73;single converged;quite high uncertainty;discard;;;;;;;;;;;;;;;;;;;
guo2017;Athetis dissimilis;gaussian_1987;-25.32;smaller uncertainty;;pass;;;;;;;;;;;;;;;;;;;
haghani2006;Liriomyza sativae;deutsch_2008;-31.63;all;;pass;;;;;;;;;;;;;;;;;;;
hasanvand2020;Tetranychus kanzawai;deutsch_2008;-26.85;all;;pass;;;;;;;;;;;;;;;;;;;
hoddle2002;Scirtothrips perseae;gaussian_1987;-23.85;single converged;;pass;;;;;;;;;;;;;;;;;;;
hosking1984;Dactylopius austrinus;deutsch_2008;-72.25;all;;discard;;;;;;;;;;;;;;;;;;;
hosking1984;Dactylopius austrinus;sharpeschoolfull_1981;-78.19;ecological and best fit;;choose;;;;;;;;;;;;;;;;;;;
howe1953;Ptinus tectus;deutsch_2008;-73.58;all;;choose;;;;;;;;;;;;;;;;;;;
iranipour2010;Eurygaster integriceps;gaussian_1987;-27.6;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
islam2020;Leucinodes orbonalis;gaussian_1987;-33.2;smaller uncertainty;high uncertainty;choose_condition;;;;;;;;;;;;;;;;;;;
